Date,O3
11/1/2012,27.98
11/1/2012,29.19
11/1/2012,29.05
11/1/2012,34.52
11/1/2012,27.22
11/1/2012,30.2
11/1/2012,24.39
11/1/2012,23.15
11/1/2012,23.15
11/1/2012,23.19
11/1/2012,22.47
11/1/2012,24.16
11/2/2012,28.08
11/2/2012,22.23
11/2/2012,21.65
11/2/2012,20.95
11/2/2012,19.56
11/2/2012,24.5
11/2/2012,24.6
11/2/2012,24.37
11/2/2012,24.41
11/2/2012,28.23
11/2/2012,29.24
11/2/2012,26.78
11/2/2012,29.66
11/2/2012,27.38
11/2/2012,23.74
11/2/2012,26.31
11/2/2012,24.64
11/2/2012,27.59
11/2/2012,23.02
11/2/2012,20.71
11/2/2012,27.81
11/2/2012,23.79
11/2/2012,22.84
11/2/2012,23.87
11/3/2012,20.2
11/3/2012,26.18
11/3/2012,27.08
11/3/2012,29.65
11/3/2012,28.94
11/3/2012,39.49
11/3/2012,30.82
11/3/2012,47.89
11/3/2012,33.19
11/3/2012,51.69
11/3/2012,35.28
11/3/2012,29.12
11/3/2012,25.21
11/3/2012,24.49
11/3/2012,21.96
11/3/2012,23.74
11/3/2012,28.72
11/3/2012,22.45
11/3/2012,25.02
11/3/2012,24.85
11/3/2012,22.05
11/3/2012,23.87
11/4/2012,24.93
11/4/2012,23.91
11/4/2012,24.33
11/4/2012,33.46
11/4/2012,45.61
11/4/2012,49.41
11/4/2012,48.73
11/4/2012,51.68
11/4/2012,49.43
11/4/2012,22.84
11/4/2012,
11/4/2012,29.88
11/4/2012,20.58
11/4/2012,23.2
11/4/2012,24.42
11/4/2012,29.51
11/4/2012,37.33
11/4/2012,
11/4/2012,
11/4/2012,24.71
11/4/2012,18.32
11/4/2012,21.14
11/4/2012,20.69
11/4/2012,19.92
11/5/2012,19.41
11/5/2012,17.75
11/5/2012,18.92
11/5/2012,18.82
11/5/2012,19.54
11/5/2012,18.37
11/5/2012,17.26
11/5/2012,20.38
11/5/2012,17.83
11/5/2012,19.51
11/5/2012,
11/5/2012,
11/5/2012,
11/5/2012,19.47
11/5/2012,22.43
11/5/2012,18.53
11/5/2012,20.08
11/5/2012,14.84
11/5/2012,23.68
11/5/2012,19.02
11/5/2012,17.84
11/5/2012,24.48
11/5/2012,20.5
11/5/2012,17.89
11/6/2012,21.85
11/6/2012,23.17
11/6/2012,20.26
11/6/2012,21.89
11/6/2012,17.75
11/6/2012,21.05
11/6/2012,20.31
11/6/2012,22.37
11/6/2012,18.92
11/6/2012,16.35
11/6/2012,29.84
11/6/2012,
11/6/2012,
11/6/2012,
11/6/2012,
11/6/2012,
11/6/2012,
11/6/2012,
11/6/2012,
11/6/2012,
11/6/2012,
11/6/2012,
11/6/2012,
11/6/2012,
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,18.49
11/7/2012,22.32
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,
11/7/2012,24.33
11/7/2012,20.38
11/7/2012,
11/7/2012,
11/7/2012,20.2
11/8/2012,19.01
11/8/2012,22.3
11/8/2012,
11/8/2012,
11/8/2012,
11/8/2012,
11/8/2012,
11/8/2012,
11/8/2012,
11/8/2012,
11/8/2012,17.49
11/8/2012,21.82
11/8/2012,21.82
11/8/2012,20.72
11/8/2012,21.05
11/8/2012,18.16
11/8/2012,21.73
11/8/2012,20.36
11/8/2012,24.83
11/8/2012,17.02
11/8/2012,24.4
11/8/2012,18.7
11/8/2012,18.67
11/8/2012,20.93
11/9/2012,18.21
11/9/2012,19.84
11/9/2012,22.57
11/9/2012,22
11/9/2012,18.49
11/9/2012,19.81
11/9/2012,21.79
11/9/2012,18.37
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/9/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/10/2012,
11/11/2012,
11/11/2012,
11/11/2012,
11/11/2012,
11/11/2012,
11/11/2012,
11/11/2012,
11/11/2012,
11/11/2012,
11/11/2012,
11/11/2012,
11/11/2012,
11/11/2012,
11/11/2012,17.02
11/11/2012,21.04
11/11/2012,
11/11/2012,
11/11/2012,19.95
11/11/2012,20.27
11/11/2012,26.13
11/11/2012,23.77
11/11/2012,23.95
11/11/2012,20.46
11/11/2012,21.23
11/12/2012,23.37
11/12/2012,19
11/12/2012,20.81
11/12/2012,22.31
11/12/2012,19.75
11/12/2012,20.19
11/12/2012,23.18
11/12/2012,17.8
11/12/2012,22.7
11/12/2012,24.85
11/12/2012,18.68
11/12/2012,16.18
11/12/2012,24.03
11/12/2012,
11/12/2012,16.93
11/12/2012,23.82
11/12/2012,24.35
11/12/2012,23.17
11/12/2012,23.86
11/12/2012,19.14
11/12/2012,28.52
11/12/2012,23.84
11/12/2012,20
11/12/2012,21.89
11/13/2012,22.34
11/13/2012,21.13
11/13/2012,25.19
11/13/2012,21.81
11/13/2012,23.84
11/13/2012,22.95
11/13/2012,20.06
11/13/2012,22.66
11/13/2012,19.15
11/13/2012,20.35
11/13/2012,21.49
11/13/2012,25.38
11/13/2012,22.59
11/13/2012,21.68
11/13/2012,24.83
11/13/2012,22.58
11/13/2012,21.03
11/13/2012,26.99
11/13/2012,22.63
11/13/2012,19.74
11/13/2012,22.77
11/13/2012,24.17
11/13/2012,23.92
11/13/2012,20.23
11/14/2012,19.94
11/14/2012,23.39
11/14/2012,20.2
11/14/2012,18.94
11/14/2012,23.4
11/14/2012,24.49
11/14/2012,23.38
11/14/2012,22.09
11/14/2012,18.98
11/14/2012,25.15
11/14/2012,23.9
11/14/2012,21.92
11/14/2012,22.95
11/14/2012,21.41
11/14/2012,18.55
11/14/2012,19.19
11/14/2012,23.36
11/14/2012,18.64
11/14/2012,24.95
11/14/2012,20.36
11/14/2012,22.24
11/14/2012,19.09
11/14/2012,21.08
11/14/2012,20.63
11/15/2012,22.17
11/15/2012,17.07
11/15/2012,21.8
11/15/2012,21.15
11/15/2012,25.67
11/15/2012,19.31
11/15/2012,18.34
11/15/2012,22.51
11/15/2012,20.22
11/15/2012,24.79
11/15/2012,20.01
11/15/2012,20.53
11/15/2012,22.06
11/15/2012,27.48
11/15/2012,18.75
11/15/2012,19.89
11/15/2012,23.72
11/15/2012,26.33
11/15/2012,18.49
11/15/2012,23.6
11/15/2012,24.56
11/15/2012,25.07
11/15/2012,23.23
11/15/2012,21.72
11/16/2012,20.21
11/16/2012,21.02
11/16/2012,19.15
11/16/2012,23.75
11/16/2012,25.47
11/16/2012,21.1
11/16/2012,22.99
11/16/2012,22.19
11/16/2012,26.16
11/16/2012,21.15
11/16/2012,22.65
11/16/2012,22.94
11/16/2012,20.8
11/16/2012,21.96
11/16/2012,22.71
11/16/2012,20.81
11/16/2012,23.77
11/16/2012,20.21
11/16/2012,23.02
11/16/2012,26.03
11/16/2012,21.33
11/16/2012,21.21
11/16/2012,25.09
11/16/2012,20.09
11/17/2012,21.78
11/17/2012,18.86
11/17/2012,22.09
11/17/2012,23.67
11/17/2012,23.88
11/17/2012,21.73
11/17/2012,17.7
11/17/2012,21.66
11/17/2012,21.97
11/17/2012,24.54
11/17/2012,21.63
11/17/2012,22
11/17/2012,23.74
11/17/2012,20.75
11/17/2012,20.55
11/17/2012,23.78
11/17/2012,24.4
11/17/2012,24.57
11/17/2012,23.29
11/17/2012,25.11
11/17/2012,21.12
11/17/2012,25.79
11/17/2012,21.35
11/17/2012,20.28
11/18/2012,18.94
11/18/2012,24.54
11/18/2012,19.12
11/18/2012,17.96
11/18/2012,17.64
11/18/2012,24.92
11/18/2012,25.09
11/18/2012,21.6
11/18/2012,24.54
11/18/2012,22.53
11/18/2012,
11/18/2012,19.33
11/18/2012,20.81
11/18/2012,21.24
11/18/2012,
11/18/2012,
11/18/2012,
11/18/2012,
11/18/2012,
11/18/2012,
11/18/2012,
11/18/2012,
11/18/2012,
11/18/2012,
11/19/2012,
11/19/2012,
11/19/2012,
11/19/2012,
11/19/2012,
11/19/2012,
11/19/2012,
11/19/2012,
11/19/2012,
11/19/2012,22.36
11/19/2012,17
11/19/2012,20.74
11/19/2012,21.53
11/19/2012,21.3
11/19/2012,21.51
11/19/2012,19.95
11/19/2012,16.36
11/19/2012,20.26
11/19/2012,22.35
11/19/2012,21.05
11/19/2012,23.83
11/19/2012,20.4
11/19/2012,24.71
11/19/2012,22.64
11/20/2012,28.36
11/20/2012,23.27
11/20/2012,24.15
11/20/2012,22.98
11/20/2012,17.48
11/20/2012,20.24
11/20/2012,21.05
11/20/2012,20.87
11/20/2012,24.94
11/20/2012,22.79
11/20/2012,24.66
11/20/2012,17.73
11/20/2012,26.85
11/20/2012,16.64
11/20/2012,22.76
11/20/2012,21.95
11/20/2012,17.56
11/20/2012,18.43
11/20/2012,21.74
11/20/2012,21.05
11/20/2012,22.78
11/20/2012,19.11
11/20/2012,18.01
11/20/2012,19.47
11/21/2012,16.73
11/21/2012,15.09
11/21/2012,13.65
11/21/2012,14.17
11/21/2012,17.73
11/21/2012,15.09
11/21/2012,16.65
11/21/2012,17.71
11/21/2012,13.53
11/21/2012,13.86
11/21/2012,19.9
11/21/2012,
11/21/2012,19.67
11/21/2012,23.96
11/21/2012,
11/21/2012,23.94
11/21/2012,23.18
11/21/2012,18.78
11/21/2012,16.73
11/21/2012,18.01
11/21/2012,18.25
11/21/2012,19.52
11/21/2012,15.45
11/21/2012,17.73
11/22/2012,15.83
11/22/2012,16.34
11/22/2012,13.28
11/22/2012,16.29
11/22/2012,15.79
11/22/2012,17.87
11/22/2012,16.71
11/22/2012,19.7
11/22/2012,14.56
11/22/2012,19.99
11/22/2012,20.78
11/22/2012,
11/22/2012,
11/22/2012,
11/22/2012,16.48
